Unit 2410 south flair towers,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link
Pasig Room rent Bed space Bedspace Shaw pioneer Kapitolyo 09179556319,2500,"Room is completely furnished with aircon & beddings
Common kitchen with ref, stove, microwave, & dinning area. 
Pwede magluto
No curfew
Call/Text 09179556319 Rich",San Isidro St.,3,3,Metro Manila (NCR),Manila," Barangay Kapitolyo, Pasig.",,,,,https://www.carousell.ph/p/pasig-room-rent-bed-space-bedspace-shaw-pioneer-kapitolyo-09179556319-240523820/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Male bedspace for rent inside BGC and Mckinley Hill,5500,"Male bedspace for rent inside BGC Fort Global and Mckinley Hill

We have available in:

Avida Cityflex, 7th Ave corner Lane T, BGC (Near St. Lukes)

Pls text name, company and your preferred date and time for viewing 

Mobile: 09232494233
Tel.: 8697069","7th Avenue corner Lane T,",2,1,Metro Manila (NCR),Taguig,BGC Taguig,40,,,,https://www.carousell.ph/p/male-bedspace-for-rent-inside-bgc-and-mckinley-hill-239872709/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspace Quezon City Welcome Rotonda,2000,"Location is along Mayon St cor Piy Margal St, 2 blocks away from Welcome Rotonda. It is within commercial area, walking distance from establishments like Sun Mall, Suki Market, Save More, Greenwich, Burger King, KFC, Jolibee, Mcdo, SUKI market, Church. Flood free and very accessible to public transportation.  NO CURFEW.

We have 4 FAN rooms 
1 solo room for P4000 
1 rm-4 pax at P2000, 1 rm-4 pax at P2200, 1 rm-8 pax at P2000
-1 month advance and 1 month deposit
- inclusive of electricity and water
- individual wardrobe cabinet with lock
- double deck with mattress just provide your own bed sheet, pillow and blanket
- individual  keys for every tenant 
- with CCTV camera",82 Mayon St.,4,5,Metro Manila (NCR),Quezon City,Brgy. Tersita,72,,,,https://www.carousell.ph/p/lady-bedspace-quezon-city-welcome-rotonda-239299394/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Bedspace, Project 6, QC",1700,"P1700/month/person including water, excluding electricity

Electrical consumption is billed separately based on monthly submeter reading.

Common: Dining area, Sala, Laundry area, Kitchen, CR (separate Male and Female CR)

One month deposit only on the 1st day

16 Faith Street, Teresa Village, Barangay Bahay Toro, Project 6, Quezon City","16 Faith Street, Teresa Village, Barangay Bahay Toro, Project 6, Quezon City",3,2,Metro Manila (NCR),Quezon City,Bahay Toro,8,,,,https://www.carousell.ph/p/bedspace-project-6-qc-1057578477/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=QV8kqaU7QpPEBnNx&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady bedspacer sucat muntinlupa,3300,"Clean , secured  ,gated community ,with gym and swimming pool. 10 minutes away from SM BF sucat Parañaque, 1 ride to Festival Mall, Westgate Alabang , Amcor.. Near Alabang  and Sucat .
My number is +63 905 464 5386.. 1 month security deposit and 1 month advance rental .Thank you ","Escalade south metro , Meralco road",2,1,Metro Manila (NCR),Paranaque City,"Sucat, Muntinlupa",43,,,,https://www.carousell.ph/p/lady-bedspacer-sucat-muntinlupa-1035476240/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Male Bedspace Condo Sharing at Flair towers near edsa Pioneer,5500,To inquire pls message in FB: ,Unit 2410 south flair towers,2,1,Metro Manila (NCR),Mandaluyong City,Reliance St.,48,,,,https://www.carousell.ph/p/male-bedspace-condo-sharing-at-flair-towers-near-edsa-pioneer-238460242/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Ladies Bedspace for Rent/ All in!,3000,"Bed Space/ New Unit
3rd floor- Waterfun Condominium
West Service Road, Sucat Muntinlupa
Lower Deck- 3,000
Upper Deck- 2,800
Inclusions
FREE Electricity
FREE Water
FREE Drinking Water
Airconditioned Room
FREE Foam and Pillows
FREE Bed Curtains
FREE use of gas stove, rice cooker, utensils, Refrigerator
Smart TV
With Receiving room, kitchen, balcony
Near Sucat Highway, Shopwise, IBEX, SM BF, Northgate, Alabang Market, Teleperformance, SM Bicutan, Terminals, Market and others
Please call or text Novy for additional information 
09956134200",Waterfun Condominium,1,1,Metro Manila (NCR),Muntinlupa City,Sucat,50,,,,https://www.carousell.ph/p/ladies-bedspace-for-rent-all-in-1058484053/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace room for rent P2000,2000,"solo room P2800 (male)
or
bedspace for male range P1700 up
merlin din pang couple

accessible no need to tricycle,24/7 makakauwi at labas ka.walking distance ever gotesco mall Commonwealth qc.
1 ride sa philcoa,cubao,fairview etc.

Hindi laging online kaya call or txt for faster transaction",N/A,N/A,N/A,Metro Manila (NCR),Quezon City,Matandang Balara,60,,,,https://www.carousell.ph/p/bedspace-room-for-rent-p2000-1058409619/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=SOWnCFFoez7YTD6w&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Makati Ladies Bedspace room for rent boarding house dormitory,2800,"Condo type bedspace for Rent.

PRICE: 
Top Bed - 2,800
Bottom Bed - 3,000
With cooking and laundry area. 
TXT SMS - (0943) 486-8800

FREE / INCLUSIVE:
Inclusive of Wi-Fi, water and electricity consumption
Clean and Organized
Secured and gated with CCTV
Regular Housekeeping
Double Deck Beds with Foam Uratex Mattress
Wall Fans
Hot and Cold Filtered Drinking Water
Common Areas with TV
Steel Beds
Steel Lockers
Uratex Foam Mattress
Clean Bathrooms

Nearby Establishments:

- Buddy's cor Kalayaan
- Century Mall 
- Circuit Makati (5 Mins walk)
- Makati Cityhall 
- SM Jazz (10 mins walk)
- Mapua (10 mins walk)
- Ayala Triangle
- SSS / BIR / Philhealth
- French Embassy / VFS Global
- Goethe Institute
- Jollibee / Chowking / Mcdonalds
- St. Andrews Church
- City Garden Grand Hotel

TXT SMS - (0943) 486-8800",1513 D. Oliman St. ,5,4,Metro Manila (NCR),Makati City,Santiago Village,N/A,,,,https://www.carousell.ph/p/makati-ladies-bedspace-room-for-rent-boarding-house-dormitory-1022849174/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=YK8R0FhmMclGaXY7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for ladies for rent in cubao,3000,"Wanted lady bed spacer 
Lower deck - 3300 monthly 
Upper deck - 3000 monthly 
We also accept transient
Address: Theresa Tower Condo 
101 P. Tuazon blvd. brgy. kaunlaran 
Cubao, Quezon City

24/7 security service
Just few steps away from edsa, walking distance to mrt/lrt cubao station, farmers, araneta center, puregold, gateway, shopwise, sm cubao, alimall, robinson cubao, sm hypermarket.
Accessible to all public transportation.
Inclusive water, electricity & monthly dues, drinking water, TV w/ tv plus.
with FREE WIFI

Requirements:
advance payment only
1 valid ID photocopy
1 2x2 picture
For inquiries just call or text my #09183852384",101 P. Tuazon Blvd.,1,1,Metro Manila (NCR),Quezon City,Brgy. Kaunlaran,40,,,,https://www.carousell.ph/p/bedspace-for-ladies-for-rent-in-cubao-238584888/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=YK8R0FhmMclGaXY7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace Gil Puyat Ayala Makati FEU CEU Makati Med,4000,"1 bedspace available 
Near RCBC Plaza, Ayala

The Hub District Hostel and Dormitory (Like us on Facebook)
Walking distance to Cash and Carry
Short walk to Gil Puyat",N/A,5,5,Metro Manila (NCR),Makati City,N/A,30,,,,https://www.carousell.ph/p/bedspace-gil-puyat-ayala-makati-feu-ceu-makati-med-238527157/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=YK8R0FhmMclGaXY7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Female Bedspace in Makati Near Circuit, Century, & SM Jazz",3500,"Looking for female bedspacers (min. of 3-month stay)! Kindly text 09669167097 for inquiries.

Available:
Bed - P3,500 per person*
*Inclusive of water & electricity

Features:
Never been flooded
Garage w/ table & chairs
Living room
Dining area
Kitchen 
Water dispenser (hot & cold)
4 bathrooms (3 w/ toilet)
Rooms w/ electric fan & cabinets (w/ lock)
Accessible public transportation (jeep, tricycle, etc.)

Location:
Inside Olympia Village (w/ guards from 10PM-6AM)
Walking distance to wet market & Circuit
5 mins to SM Jazz*
5 mins to Century City Mall*
15 mins to Rockwell*
15 mins to Ayala*
20 mins to Taft*
20 mins to BGC*
*On a normal traffic

Contact no.:
09669167097",Cordillera St.,4,4,Metro Manila (NCR),Makati City,Brgy. Olympia,120,,,,https://www.carousell.ph/p/female-bedspace-in-makati-near-circuit-century-sm-jazz-1033265190/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=YK8R0FhmMclGaXY7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspacer in Quezon City near East Avenue and V.Luna,2500,"Wanted: Lady Bedspacer (preferably working professional) 


Rate: P 3,000

Fee already includes electricity and water


Room: 

-3rd floor

-Own bathroom inside bedroom

-2people capacity per room

-One space available (P 3,000 single bed) 


Amenities: 

-Free use of refrigerator and microwave

-Flat-screen television available in the living room (common area)

-Landline (local calls only) available in the living room (common area)

-Clothesline (sampayan) available at the laundry area on the roof deck


Location: 

* Pinyahan, Quezon City (near V. Luna, East Ave., Maginhawa, Sikatuna, Kamuning, Anonas, Kamias, Teacher's Village, UP Village)

* In-front of V. Luna Hospital / AFP Medical Center

* Walking distance from SM Savemore, BPI and BDO banks, Jollibee, Hap Chan, Beauty Salons and Barber Shops, Pre-schools

* 10 mins. away from East Avenue Medical Center, NKTI Lung Center, Philippine Heart Center, Quezon City Hall, LTO, SSS

* Conveniently near schools like Ateneo, Miriam, UP

* Conveniently near other grocery stores like Puregold and Hi-top

*  Conveniently near other restaurants, as well as the food strip along Maginhawa Street

* Close to East Avenue (Mercury Drugstore, Metrobank, Pizza Hut, etc.)

* Close to jeepneys, tricycles, one ride to MRT (GMA Station), one ride to LRT (Anonas Station), one ride to UP Technohub


Open to female students, PT, med tech, OJT, nurses and other professionals.


If you have question(s), please message me @ 09954764253",9A Maginoo St,2,2,Metro Manila (NCR),Quezon City,Pinyahan,20,,,,https://www.carousell.ph/p/lady-bedspacer-in-quezon-city-near-east-avenue-and-v-luna-253825149/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=YK8R0FhmMclGaXY7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace Room for rent in Las pinas.....,1200,"Location: Rainbow Marcos Alvarez
7 rms avail.here...
2 - common toilets
4 - common bathrooms
We have submeters.
With  water tank & maynilad
With electric generator

Free Wifi ..   FEMALES ONLY
Electric Fan, Bed , screens,tv
1mo adv; 1mo deposit; 1mo refundable
min 3mos lock period else u forfeit ur deposit

Near Robinson, SM Southmall , Ayala  Town , Puregold,Northgate,  Savemore, las pinas medical . Shopwise, savemore, SM Pamplona

Contact Nilda Villar
0919 - 634- 1365   Smart
0917-  703- 4338  Globe
8802- 1319. Landline",Almanza Uno,5,4,Metro Manila (NCR),Las Pinas,Rainbow Village,100,,,,https://www.carousell.ph/p/bedspace-room-for-rent-in-las-pinas-239341352/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=YK8R0FhmMclGaXY7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace Condo Sharing Condo Share Ortigas Mandaluyong Pioneer Boni,5500,"Text us at 0927 279 6544

- Condo is located at BSA Twin Towers, Ortigas Center, Mandaluyong City
- For male and female occupants
- Available for viewing on weekdays and weekends
- Very neat, cozy, well set-up, air-conditioned, fully-furnished condo unit
- P5,000.00/month per tenant
- Free use of Wi-Fi, fitness gym and swimming pool","BSA Twin Towers, Bank Drive",1,1,Metro Manila (NCR),Mandaluyong City,Ortigas Center,45,,,,https://www.carousell.ph/p/bedspace-condo-sharing-condo-share-ortigas-mandaluyong-pioneer-boni-238891331/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=YK8R0FhmMclGaXY7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
BEDSPACE and ROOM RENTALS CUBAO ALIMALL GATEWAY AREA,5000,"CLEAN,SECURED,MAINTAINED BEDSPACE OR ROOMS AVAILABLE. INCLUDES UTILITIES WATER/ELECT/WIFI for 5,000/monthly.LIMITED TO 2-3 persons only per room. HOME HAS 2 KITCHENS,WAITING and VISITING AREAS.NEAR AURORA BLVD. ALIMALL/GATEWAY and FARMERS are walking distance.STRICTLY FOR WOMEN 1 room may accommodate 2 persons pkgd at 12k wd utilities and wifi  ONLY.KINDLY TEXT OR CALL 09175487299 Thanks!",77 HARVARD ST.CUBAO QC,5,3,Metro Manila (NCR),Quezon City,N/A,20,,,,https://www.carousell.ph/p/bedspace-and-room-rentals-cubao-alimall-gateway-area-1028526407/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=YK8R0FhmMclGaXY7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspace for Rent in Quezon City,4800,"Welcome Ladies! A Home Away from Home.

Promo rate/month P4,800/head

Amenities
• Fully furnished brand new rooms
• Free wifi
• AC rooms
• Shower heater
• Kitchen area: stove, rice cooker, oven toaster, m. oven, H2O heater, ref, filtered H2O
• Washing machine
• Coffee/study/rec area
• Security – biometrics door, 24/7 CCTV

Proximity
• Near UP, Ateneo, Miriam
• Near Trinoma, SM North, UP Town Center
• Near EDSA, QC Hall, QC Circle, Commonwealth, Philcoa, Katipunan
• Near Phil Heart Center, East Ave Medical Center
• Near restaurants, grocery stores, pharmacies, spa, salon

Address: 95A Matahimik St., Sikatuna Vill., QC (near Nest Learning Center)",95A Matahimik St.,1,1,Metro Manila (NCR),Quezon City,Sikatuna Village,20,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-in-quezon-city-239043340/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female Bedspace at Axis Residences,4500,"- Axis Residences is located along Pioneer St., Mandaluyong City, right next to Cybergate 3
- Amenities include free use of gym, outdoor pool and basketball court 
-The unit is fully furnished 
- Kitchen is furnished with a ref, microwave, induction stove, range hood 
- Bedroom is furnished with AC, Ddecks & mattress, 4 wardrobe cabinet (1 cabinet per tenant) 
- Each bedspace has its own curtain for privacy & to block out all light for undisturbed sleep    
- Free use of gym & outdoor swimming pool   
- Upper deck rate is Php4500, lower deck rate isPhp4700   
- Rental rate does not include condo dues, Water and Electric bill 
- Condo Dues is 500 per person

Minimum length of stay: 6 months
Terms of payment: 1 month advance, 2 months deposit",Pioneer St,1,1,Metro Manila (NCR),Mandaluyong City,Brgy. Ilaya,24,,,,https://www.carousell.ph/p/female-bedspace-at-axis-residences-1010100366/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace For Rent Mandaluyong,3300,"BEDSPACE MALE OR FEMALE FOR RENT

Inclusive of
- Bunk Beds
- Water
- Electricity
- Internet (Wifi)

5 mins walk NEAR BONI MRT 

Contact 09167090199 for more details",Unit 4 No 59 Cordillera Street ,1,1,Metro Manila (NCR),Mandaluyong City,Brgy Highway Hills,N/A,,,,https://www.carousell.ph/p/bedspace-for-rent-mandaluyong-1013022721/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Couple Bedspace for Rent Pedro Gil Taft Malate Manila,8500,"We have Aircon Bedspace available in PedroGil Taft Malate, as priced below

WATCH VIDEO TOUR HERE:","1655 Taft Ave., cor PedroGil St.",2,1,Metro Manila (NCR),Manila,Malate - Barangay 696,21,,,,https://www.carousell.ph/p/couple-bedspace-for-rent-pedro-gil-taft-malate-manila-1054003616/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Bedspace at Ayala Centera Condominium, EDSA-Mandaluyong. 09085150291.",5200,"Bedspace at Ayala Centera Condominium, EDSA-Mandaluyong. 
Free WIFI, monthly association condo dues and water consumption.
5,200 per month **excluding electricity (Meralco) bill** 
With TV, aircon, double-deck with foam, table and refrigerator.
3 slots available.","Ayala Centera Condominium, EDSA corner Reliance St.",1,1,Metro Manila (NCR),Mandaluyong City,Brgy. Highway Hills,22,,,,https://www.carousell.ph/p/bedspace-at-ayala-centera-condominium-edsa-mandaluyong-09085150291-272164765/?t-id=5xtwbgJ-Ch_1609052937818&t-referrer_browse_type=search_results&t-referrer_request_id=jnDK4AFqlX0UjuZm&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
